S.No.,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats
167,Ford Figo Diesel Titanium,Jaipur,2010,Diesel,Manual,Second,1399 CC,68 bhp,5
168,BMW X5 xDrive 30d,Mumbai,2015,Diesel,Automatic,First,2993 CC,258 bhp,5
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,Diesel,Automatic,First,2143 CC,167.62 bhp,5
170,Honda Brio V MT,Bangalore,2012,Petrol,Manual,Second,1198 CC,86.8 bhp,5
171,Hyundai i10 Magna 1.2,Delhi,2013,Petrol,Manual,First,1197 CC,78.9 bhp,5
172,Mercedes-Benz GLC 220,Bangalore,2016,Diesel,Automatic,First,2143 CC,170 bhp,5
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,Petrol,Manual,First,1197 CC,81.86 bhp,5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,Diesel,Automatic,Second,1968 CC,174.33 bhp,5
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,Petrol,Automatic,Second,1598 CC,103.6 bhp,5
176,Mini Countryman Cooper D,Jaipur,2017,Diesel,Automatic,Second,1998 CC,112 bhp,5
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,Diesel,Manual,First,1396 CC,88.73 bhp,5
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,Diesel,Automatic,First,1968 CC,174.33 bhp,5
179,Chevrolet Beat Diesel LT,Jaipur,2012,Diesel,Manual,First,936 CC,57.6 bhp,5
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,Petrol,Automatic,First,1798 CC,157.75 bhp,5
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,Diesel,Manual,Second,1399 CC,68 bhp,5
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,Diesel,Automatic,First,1995 CC,190 bhp,5
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,Petrol,Manual,First,1598 CC,102.5 bhp,5
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,Diesel,Manual,First,1199 CC,73.9 bhp,5
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,Diesel,Manual,First,1461 CC,108.5 bhp,8
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,Diesel,Automatic,First,2143 CC,201.1 bhp,5
187,Maruti Baleno Alpha,Kochi,2017,Petrol,Manual,First,1197 CC,83.1 bhp,5
188,Hyundai Verna 1.6 SX,Delhi,2012,Diesel,Manual,First,1582 CC,126.32 bhp,5
189,Hyundai i10 Magna 1.1,Kochi,2017,Petrol,Manual,First,1086 CC,68.05 bhp,5
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,Diesel,Manual,First,1997 CC,120 bhp,7
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,Diesel,Automatic,First,2179 CC,187.7 bhp,5
192,Ford Figo Diesel ZXI,Chennai,2010,Diesel,Manual,First,1399 CC,68 bhp,5
193,Maruti Ertiga ZDI,Mumbai,2016,Diesel,Manual,First,1248 CC,88.50 bhp,7
194,Honda City 1.5 GXI,Ahmedabad,2007,Petrol,Manual,First,,,
195,Honda Amaze S i-Dtech,Kolkata,2014,Diesel,Manual,First,1498 CC,98.6 bhp,5
196,Hyundai i10 Magna,Jaipur,2015,Petrol,Manual,First,1197 CC,78.9 bhp,5
197,Honda Amaze S i-Dtech,Kolkata,2013,Diesel,Manual,First,1498 CC,98.6 bhp,5
198,Skoda Laura Ambiente,Hyderabad,2008,Diesel,Manual,First,1896 CC,106 bhp,5
199,Renault Duster 85PS Diesel RxL,Delhi,2014,Diesel,Manual,First,1461 CC,83.8 bhp,5
200,Mahindra NuvoSport N6,Chennai,2017,Diesel,Manual,Second,1493 CC,100 bhp,7
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,Diesel,Manual,First,1248 CC,88.5 bhp,5
202,Hyundai i20 Asta Option 1.2,Kochi,2016,Petrol,Manual,First,1197 CC,81.83 bhp,5
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,Petrol,Manual,First,1390 CC,85 bhp,5
204,Tata Indigo eCS GLX,Pune,2010,Petrol,Manual,First,1193 CC,64.1 bhp,5
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,Diesel,Automatic,First,1968 CC,174.33 bhp,5
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,Petrol,Automatic,First,1798 CC,177.5 bhp,5
207,Toyota Etios Liva GD SP,Delhi,2014,Diesel,Manual,First,1364 CC,67.06 bhp,5
208,Maruti Swift 1.3 VXi,Kolkata,2010,Petrol,Manual,First,,,
209,Mercedes-Benz B Class B180,Kochi,2014,Petrol,Automatic,First,1595 CC,120.7 bhp,5
210,Honda Amaze S Diesel,Kolkata,2013,Diesel,Manual,First,1498 CC,98.6 bhp,5
211,Hyundai Verna 1.6 SX,Jaipur,2012,Diesel,Manual,Second,1582 CC,126.32 bhp,5
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,Diesel,Manual,First,1461 CC,83.8 bhp,5
213,Hyundai Creta 1.6 VTVT S,Delhi,2015,Petrol,Manual,Second,1591 CC,121.3 bhp,5
214,Maruti Wagon R AMT VXI,Mumbai,2016,Petrol,Automatic,First,998 CC,67 bhp,5
215,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,Petrol,,First,1796 CC,186 bhp,5
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,Diesel,Automatic,First,2967 CC,246.7 bhp,5
217,Hyundai i10 Magna 1.1,Pune,2012,Petrol,Manual,Second,1086 CC,68.05 bhp,5
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,,Automatic,First,1598 CC,103.52 bhp,5
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,Petrol,Automatic,First,1798 CC,177.46 bhp,5
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,Petrol,Manual,First,1197 CC,81.86 bhp,5
221,Honda Amaze VX i-DTEC,Kolkata,2014,Diesel,Manual,Second,1498 CC,98.6 bhp,5
222,Maruti Wagon R LXI,Chennai,2004,Petrol,Manual,Second,998 CC,67.1 bhp,5
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,Diesel,Manual,First,1461 CC,65 bhp,5
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,Diesel,Automatic,First,2143 CC,167.62 bhp,5
225,Maruti Wagon R VXI,Kolkata,2013,Petrol,Manual,First,998 CC,67.04 bhp,5
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,Diesel,Manual,Second,1461 CC,108.5 bhp,5
227,Maruti Swift VDI BSIV,Delhi,2013,Diesel,Manual,First,1248 CC,null bhp,5
228,Mini Cooper Convertible S,Kochi,2017,Petrol,Automatic,First,1998 CC,189.08 bhp,4
229,Ford Figo Diesel,Bangalore,2015,Diesel,Manual,First,1498 CC,99 bhp,
230,Tata Indica V2 DLS BSII,Jaipur,2007,Diesel,Manual,Second,1396 CC,53.5 bhp,5
231,Chevrolet Beat LT,Kochi,2016,Petrol,Manual,Second,1199 CC,76.8 bhp,5
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,Diesel,Manual,First,1199 CC,73.9 bhp,5
233,Maruti Swift ZDi,Hyderabad,2016,Diesel,Manual,First,1248 CC,74 bhp,5
234,Ford Figo Diesel EXI,Kolkata,2012,Diesel,Manual,First,1399 CC,68.05 bhp,5
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,Diesel,Automatic,First,2755 CC,171.5 bhp,7
236,Hyundai Santa Fe 4x4 AT,Mumbai,2011,Diesel,Automatic,Second,2199 CC,194.3 bhp,7
237,Honda City i-VTEC V,Kolkata,2011,Petrol,Manual,First,1497 CC,117.3 bhp,5
238,Hyundai i20 1.2 Magna Executive,Kochi,2018,Petrol,Manual,First,1197 CC,81.83 bhp,5
239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,Diesel,Automatic,First,2143 CC,167.62 bhp,5
240,Chevrolet Beat Diesel LT,Mumbai,2013,Diesel,Manual,First,936 CC,57.6 bhp,5
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,Diesel,Manual,First,1396 CC,88.73 bhp,5
242,Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,2015,Diesel,,First,2494 CC,100.6 bhp,7
243,Maruti Ertiga VDI,Chennai,2013,Diesel,Manual,First,1248 CC,88.76 bhp,7
244,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,Diesel,,First,2494 CC,102 bhp,7
245,Hyundai Santro Xing XO eRLX Euro II,Mumbai,2007,Petrol,Manual,Third,1086 CC,null bhp,5
246,Honda City i VTEC V,Kochi,2016,Petrol,Manual,First,1497 CC,117.3 bhp,5
247,BMW X1 sDrive20d,Ahmedabad,2014,Diesel,Automatic,First,1995 CC,184 bhp,5
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,Diesel,Manual,First,1120 CC,70 bhp,5
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,,Manual,First,1248 CC,88.5 bhp,5
250,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,Diesel,,First,1598 CC,103.6 bhp,5
251,Hyundai Accent CRDi,Kochi,2006,Diesel,Manual,First,1493 CC,82 bhp,5
252,Volkswagen Polo GT 1.5 TDI,Jaipur,2014,Diesel,,Second,1498 CC,103.6 bhp,5
253,Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,Petrol,Manual,First,1199 CC,88.7 bhp,5
254,Hyundai i10 Era,Jaipur,2010,Petrol,Manual,First,1086 CC,68.05 bhp,5
255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,Diesel,Automatic,First,1995 CC,183 bhp,5
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,Diesel,Manual,First,2393 CC,147.8 bhp,7
257,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,Petrol,,Third,796 CC,35 bhp,5
258,Maruti Swift VXI BSIV,Coimbatore,2017,Petrol,Manual,Second,1197 CC,81.80 bhp,5
259,Hyundai Grand i10 Magna,Mumbai,2014,Petrol,Manual,First,1197 CC,82 bhp,5
260,Maruti Swift VDI,Pune,2012,Diesel,,First,1248 CC,74 bhp,5
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,Diesel,Manual,First,1582 CC,126.2 bhp,5
262,Hyundai Santro Xing XL,Hyderabad,2006,Petrol,Manual,First,1086 CC,,5
263,Hyundai i20 1.2 Sportz,Mumbai,2010,Petrol,Manual,First,1197 CC,80 bhp,5
264,Mercedes-Benz GLE 350d,Coimbatore,2017,Diesel,Automatic,First,2987 CC,254.79 bhp,5
265,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,2014,Diesel,Manual,Second,2148 CC,170 bhp,5
266,Maruti Ritz ZDi,Hyderabad,2014,Diesel,Manual,First,1248 CC,73.94 bhp,5
267,Hyundai Creta 1.6 CRDi SX,Bangalore,2016,Diesel,,First,1582 CC,126.2 bhp,5
268,Maruti A-Star Vxi,Pune,2010,Petrol,,First,998 CC,66.1 bhp,5
269,Renault Duster 110PS Diesel RXZ Option,Delhi,2016,Diesel,Manual,First,1461 CC,108.45 bhp,5
270,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,Diesel,Manual,First,1248 CC,76 bhp,5
271,BMW X3 xDrive30d M Sport,Coimbatore,2017,Diesel,Automatic,First,2993 CC,258 bhp,5
272,Hyundai i10 Sportz,Bangalore,2010,Petrol,Manual,Second,1197 CC,78.9 bhp,5
273,Toyota Innova 2.5 G4 Diesel 7-seater,Pune,2016,Diesel,Manual,First,2494 CC,102 bhp,7
274,Maruti Zen VXI BSII,Mumbai,2002,Petrol,Manual,Third,993 CC,60 bhp,5
275,Maruti Swift VDI,Hyderabad,2018,Diesel,,First,1248 CC,74 bhp,5
276,Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Pune,2013,Diesel,Manual,Second,2179 CC,120 bhp,8
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,Diesel,Manual,First,1248 CC,74 bhp,5
278,Ford EcoSport 1.0 Ecoboost Titanium Plus,Mumbai,2017,Petrol,,First,999 CC,123.24 bhp,5
279,Maruti Swift Dzire ZDI,Jaipur,2012,Diesel,,First,1248 CC,74 bhp,5
280,Maruti Alto 800 LXI,Kochi,2016,Petrol,Manual,First,796 CC,47.3 bhp,5
281,Honda City 1.5 S MT,Jaipur,2011,Petrol,Manual,First,1497 CC,118 bhp,5
282,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,Diesel,Automatic,First,2967 CC,241.4 bhp,7
283,Skoda Laura 1.9 TDI AT Ambiente,Mumbai,2009,Diesel,Automatic,Second,1896 CC,105 bhp,5
284,Hyundai Verna 1.6 SX VTVT (O),Kochi,2012,Petrol,Manual,First,1591 CC,121.3 bhp,5
285,Honda City 1.5 V AT,Jaipur,2009,Petrol,Automatic,First,1497 CC,118 bhp,5
286,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,Diesel,Manual,First,1396 CC,88.8 bhp,5
287,Hyundai i20 Sportz AT 1.4,Coimbatore,2014,Petrol,Automatic,First,1396 CC,98.6 bhp,5
288,Volkswagen Vento Diesel Highline,Hyderabad,2011,Diesel,Manual,First,1598 CC,103.6 bhp,5
289,Honda City i VTEC VX,Ahmedabad,2014,Petrol,Manual,First,1497 CC,117.3 bhp,5
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,Diesel,Manual,First,1248 CC,74 bhp,5
291,BMW 5 Series 2003-2012 520d,Pune,2015,Diesel,Automatic,First,1995 CC,177 bhp,5
292,Maruti Wagon R LXI Minor,Delhi,2009,Petrol,Manual,First,1061 CC,67 bhp,5
293,Honda Jazz VX,Delhi,2015,Petrol,,First,1199 CC,88.7 bhp,5
294,Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,2012,Diesel,Manual,First,1896 CC,105 bhp,5
295,Hyundai i10 Magna 1.2,Hyderabad,2010,Petrol,Manual,First,1197 CC,78.9 bhp,5
296,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,Diesel,Automatic,First,2143 CC,170 bhp,5
297,Hyundai i10 Magna 1.2 iTech SE,Pune,2012,Petrol,Manual,First,1197 CC,78.9 bhp,5
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,Diesel,Manual,First,2393 CC,147.8 bhp,7
299,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,Diesel,Automatic,First,1968 CC,174.33 bhp,5
300,Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2010,Diesel,Manual,Second,2494 CC,100.6 bhp,7
301,Volkswagen Polo Petrol Trendline 1.2L,Mumbai,2015,Petrol,Manual,First,1198 CC,73.9 bhp,5
302,Maruti Alto K10 LXI,Hyderabad,2011,Petrol,,First,998 CC,67.1 bhp,5
303,Honda City i-VTEC CVT ZX,Mumbai,2017,Petrol,Automatic,First,1497 CC,117.3 bhp,5
304,Tata Indigo LX,Coimbatore,2013,Diesel,Manual,First,1405 CC,70 bhp,5
305,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,Diesel,Automatic,First,1968 CC,174.33 bhp,5
306,Mercedes-Benz GLA Class 200 CDI SPORT,Delhi,2015,Diesel,Automatic,First,2143 CC,136 bhp,5
307,Hyundai Santro Xing XL,Chennai,2006,Petrol,Manual,Second,1086 CC,null bhp,5
308,Maruti Swift VDI BSIV,Kolkata,2011,Diesel,Manual,First,1248 CC,null bhp,5
309,Maruti Celerio VXI AT,Hyderabad,2014,Petrol,Automatic,First,998 CC,67.04 bhp,5
310,Mercedes-Benz GLE 250d,Hyderabad,2017,Diesel,Automatic,First,2143 CC,201.15 bhp,5
311,Land Rover Range Rover HSE Dynamic,Delhi,2017,Diesel,Automatic,First,2179 CC,187.7 bhp,5
312,Volkswagen Vento Diesel Trendline,Hyderabad,2011,Diesel,Manual,First,1598 CC,103.6 bhp,5
313,Maruti Omni 8 Seater BSIV,Hyderabad,2012,Petrol,,First,796 CC,35 bhp,5
314,Honda Brio 1.2 VX MT,Kochi,2012,Petrol,Manual,First,1198 CC,86.8 bhp,5
315,Tata Sumo Delux,Hyderabad,2000,Diesel,,Second,2956 CC,83.1 bhp,7
316,Tata Indica Vista Aura 1.3 Quadrajet,Pune,2012,Diesel,Manual,First,1248 CC,75 bhp,5
317,Maruti Wagon R LXI BS IV,Delhi,2012,Petrol,,First,998 CC,67.1 bhp,5
318,Mahindra XUV500 W8 4WD,Hyderabad,2015,Diesel,Manual,First,2179 CC,140 bhp,7
319,Tata Indigo LS Dicor,Pune,2008,Diesel,Manual,Second,1396 CC,70 bhp,5
320,Maruti Ertiga Paseo VXI,Mumbai,2018,Petrol,Manual,First,1373 CC,93.7 bhp,7
321,Honda Accord 2.4 A/T,Mumbai,2011,Petrol,Automatic,First,2354 CC,177.6 bhp,5
322,Maruti Swift Dzire VDi,Kolkata,2012,Diesel,Manual,First,1248 CC,73.9 bhp,5
323,Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2009,Diesel,Manual,First,1399 CC,68 bhp,5
324,Honda City ZX GXi,Kolkata,2008,Petrol,Manual,First,1497 CC,78 bhp,5
325,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,Diesel,Automatic,First,1968 CC,174.33 bhp,5
326,BMW 6 Series 640d Gran Coupe,Mumbai,2011,Diesel,Automatic,First,2993 CC,313 bhp,4
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,Diesel,Automatic,First,2967 CC,245 bhp,7
328,Maruti Zen Estilo LXI Green (CNG),Pune,2008,CNG,Manual,First,998 CC,67.1 bhp,5
329,Hyundai i20 1.4 CRDi Asta,Pune,2012,Diesel,Manual,First,1396 CC,90 bhp,5
330,Hyundai i10 Sportz AT,Bangalore,2009,Petrol,Automatic,Third,1197 CC,78.9 bhp,5
331,Honda Jazz 1.2 V CVT i VTEC,Kochi,2016,Petrol,Automatic,First,1199 CC,88.7 bhp,5
332,Maruti Swift VDI BSIV,Hyderabad,2015,Diesel,Manual,First,1248 CC,74 bhp,5
333,Hyundai i20 Asta 1.2,Pune,2011,Petrol,Manual,Second,1197 CC,82.85 bhp,5
